store_id,food_category,food_item,expiry_date,todays_date,quantity,unit
9,Dairy,Whole Milk,2025-04-12,2025-04-08,32,liters
9,Dairy,Greek Yogurt,2025-04-11,2025-04-08,18,packs
9,Dairy,Cheddar Cheese,2025-04-13,2025-04-08,15,packs
9,Dairy,Butter,2025-04-10,2025-04-08,12,packs
9,Dairy,Sour Cream,2025-04-11,2025-04-08,8,tubs
9,Dairy,Heavy Cream,2025-04-12,2025-04-08,6,liters
9,Dairy,Cream Cheese,2025-04-13,2025-04-08,9,packs
9,Bakery,Sourdough Bread,2025-04-10,2025-04-08,14,loaves
9,Bakery,Bagels,2025-04-09,2025-04-08,22,packs
9,Bakery,Croissants,2025-04-09,2025-04-08,17,pieces
9,Bakery,Chocolate Muffins,2025-04-10,2025-04-08,12,packs
9,Bakery,Dinner Rolls,2025-04-10,2025-04-08,8,packs
9,Bakery,Cinnamon Rolls,2025-04-11,2025-04-08,6,packs
9,Bakery,Banana Bread,2025-04-11,2025-04-08,4,loaves
9,Produce,Bananas,2025-04-12,2025-04-08,28,kg
9,Produce,Apples,2025-04-13,2025-04-08,35,kg
9,Produce,Romaine Lettuce,2025-04-10,2025-04-08,18,heads
9,Produce,Tomatoes,2025-04-11,2025-04-08,24,kg
9,Produce,Bell Peppers,2025-04-12,2025-04-08,16,kg
9,Produce,Carrots,2025-04-13,2025-04-08,20,kg
9,Produce,Avocados,2025-04-10,2025-04-08,15,pieces
9,Produce,Potatoes,2025-04-13,2025-04-08,40,kg
9,Produce,Onions,2025-04-13,2025-04-08,25,kg
9,Produce,Strawberries,2025-04-10,2025-04-08,12,packs
9,Produce,Grapes,2025-04-11,2025-04-08,16,kg
9,Produce,Cucumbers,2025-04-12,2025-04-08,14,pieces
9,Packaged,Pasta,2025-05-20,2025-04-08,28,packs
9,Packaged,Rice,2025-06-07,2025-04-08,22,kg
9,Packaged,Cereal,2025-05-25,2025-04-08,15,boxes
9,Packaged,Canned Beans,2025-06-10,2025-04-08,32,cans
9,Packaged,Canned Soup,2025-06-15,2025-04-08,26,cans
9,Packaged,Peanut Butter,2025-05-28,2025-04-08,12,jars
9,Packaged,Granola Bars,2025-05-18,2025-04-08,18,boxes
9,Packaged,Crackers,2025-05-12,2025-04-08,14,boxes
9,Packaged,Potato Chips,2025-05-15,2025-04-08,20,bags
9,Packaged,Tortillas,2025-04-23,2025-04-08,10,packs
9,Packaged,Salsa,2025-05-10,2025-04-08,8,jars
9,Packaged,Trail Mix,2025-05-22,2025-04-08,11,packs
9,Meat,Ground Beef,2025-04-10,2025-04-08,18,kg
9,Meat,Chicken Breasts,2025-04-11,2025-04-08,15,kg
9,Meat,Pork Chops,2025-04-11,2025-04-08,12,kg
9,Meat,Bacon,2025-04-12,2025-04-08,9,packs
9,Meat,Sausages,2025-04-11,2025-04-08,14,packs
9,Meat,Deli Ham,2025-04-10,2025-04-08,7,kg
9,Meat,Turkey Breast,2025-04-10,2025-04-08,5,kg
9,Meat,Lamb Chops,2025-04-11,2025-04-08,4,kg
9,Seafood,Salmon Fillets,2025-04-10,2025-04-08,10,kg
9,Seafood,Shrimp,2025-04-09,2025-04-08,8,kg
9,Seafood,Cod Fillets,2025-04-10,2025-04-08,6,kg
9,Seafood,Tilapia,2025-04-10,2025-04-08,7,kg
9,Seafood,Crab Legs,2025-04-09,2025-04-08,4,kg
9,Frozen,Ice Cream,2025-06-10,2025-04-08,16,tubs
9,Frozen,Frozen Pizza,2025-07-01,2025-04-08,22,pieces
9,Frozen,Frozen Vegetables,2025-06-22,2025-04-08,25,bags
9,Frozen,Frozen Berries,2025-06-15,2025-04-08,14,bags
9,Frozen,Frozen Meals,2025-06-18,2025-04-08,18,packs
9,Frozen,Ice Pops,2025-06-25,2025-04-08,12,boxes
9,Frozen,Frozen Waffles,2025-06-12,2025-04-08,10,boxes
9,Frozen,Frozen Fish Sticks,2025-06-20,2025-04-08,9,boxes
9,Frozen,Frozen French Fries,2025-06-28,2025-04-08,15,bags
9,Beverages,Orange Juice,2025-05-08,2025-04-08,20,liters
9,Beverages,Soda,2025-06-02,2025-04-08,32,bottles
9,Beverages,Bottled Water,2025-06-10,2025-04-08,48,bottles
9,Beverages,Iced Tea,2025-05-20,2025-04-08,15,bottles
9,Beverages,Coffee,2025-06-05,2025-04-08,10,packs
9,Beverages,Sports Drinks,2025-06-01,2025-04-08,18,bottles
9,Beverages,Almond Milk,2025-05-10,2025-04-08,12,liters
9,Dairy,Goat Cheese,2025-04-12,2025-04-08,4,packs
9,Dairy,Cottage Cheese,2025-04-11,2025-04-08,6,tubs
9,Bakery,Wheat Bread,2025-04-11,2025-04-08,16,loaves
9,Bakery,Apple Pie,2025-04-10,2025-04-08,5,pies
9,Bakery,Donuts,2025-04-09,2025-04-08,20,pieces
9,Produce,Broccoli,2025-04-12,2025-04-08,18,kg
9,Produce,Kale,2025-04-10,2025-04-08,10,bunches
9,Produce,Blueberries,2025-04-11,2025-04-08,14,packs
9,Produce,Celery,2025-04-12,2025-04-08,12,bunches
9,Produce,Zucchini,2025-04-11,2025-04-08,9,kg
9,Packaged,Oatmeal,2025-05-30,2025-04-08,14,boxes
9,Packaged,Pancake Mix,2025-05-25,2025-04-08,8,boxes
9,Packaged,Olive Oil,2025-06-08,2025-04-08,5,bottles
9,Packaged,Honey,2025-06-15,2025-04-08,7,jars
9,Meat,Beef Steak,2025-04-12,2025-04-08,8,kg
9,Meat,Ground Turkey,2025-04-11,2025-04-08,10,kg
