store_id,food_category,food_item,expiry_date,todays_date,quantity,unit
5,Produce,Bananas,2025-04-08,2025-04-07,11,Units
5,Produce,Apples,2025-04-09,2025-04-07,4,Units
5,Seafood,Shrimp,2025-04-09,2025-04-07,30,Kg
5,Seafood,Tuna,2025-04-16,2025-04-07,48,Kg
5,Bakery,Croissant,2025-04-16,2025-04-07,31,Packs
5,Bakery,Bread,2025-04-16,2025-04-07,18,Units
5,Seafood,Salmon,2025-04-08,2025-04-07,21,Kg
5,Dairy,Milk,2025-04-15,2025-04-07,17,Packs
5,Beverages,Juice,2025-06-26,2025-04-07,20,Liters
5,Bakery,Bread,2025-04-19,2025-04-07,45,Units
5,Dairy,Cheese,2025-04-18,2025-04-07,49,Units
5,Beverages,Water,2025-05-22,2025-04-07,1,Units
5,Seafood,Salmon,2025-04-17,2025-04-07,32,Kg
5,Snacks,Chips,2025-10-04,2025-04-07,27,Kg
5,Beverages,Juice,2025-08-29,2025-04-07,6,Kg
5,Snacks,Chips,2025-08-13,2025-04-07,46,Packs
5,Seafood,Shrimp,2025-04-16,2025-04-07,19,Packs
5,Snacks,Nuts,2025-10-02,2025-04-07,29,Kg
5,Dairy,Milk,2025-04-18,2025-04-07,10,Units
5,Meat,Pork,2025-04-11,2025-04-07,46,Packs
5,Dairy,Cheese,2025-04-16,2025-04-07,44,Kg
5,Beverages,Soda,2025-05-19,2025-04-07,37,Kg
5,Beverages,Water,2025-09-09,2025-04-07,40,Liters
5,Dairy,Cheese,2025-04-16,2025-04-07,16,Units
5,Dairy,Yogurt,2025-04-19,2025-04-07,41,Packs
5,Produce,Apples,2025-04-14,2025-04-07,2,Packs
5,Beverages,Water,2025-09-26,2025-04-07,33,Liters
5,Produce,Apples,2025-04-15,2025-04-07,32,Kg
5,Beverages,Juice,2025-07-01,2025-04-07,5,Kg
5,Seafood,Shrimp,2025-04-13,2025-04-07,49,Liters
5,Meat,Chicken,2025-04-16,2025-04-07,49,Kg
5,Dairy,Yogurt,2025-04-21,2025-04-07,46,Packs
5,Meat,Chicken,2025-04-21,2025-04-07,23,Packs
5,Snacks,Chips,2025-08-18,2025-04-07,40,Units
5,Produce,Apples,2025-04-10,2025-04-07,8,Packs
5,Bakery,Croissant,2025-04-09,2025-04-07,2,Liters
5,Dairy,Yogurt,2025-04-18,2025-04-07,9,Units
5,Dairy,Yogurt,2025-04-19,2025-04-07,13,Liters
5,Snacks,Nuts,2025-09-16,2025-04-07,33,Liters
