store_id,food_category,food_item,expiry_date,todays_date,quantity,unit
4,Beverages,Tea,2025-05-17,2025-04-07,28,liters
4,Produce,Oranges,2025-04-13,2025-04-07,41,Kg
4,Beverages,Soda,2025-05-06,2025-04-07,5,liters
4,Beverages,Coffee,2025-05-12,2025-04-07,8,liters
4,Confectionery,Candy,2025-07-25,2025-04-07,20,packs
4,Produce,Oranges,2025-04-11,2025-04-07,2,Kg
4,Confectionery,Candy,2025-08-03,2025-04-07,43,packs
4,Confectionery,Chocolate,2025-06-21,2025-04-07,7,packs
4,Beverages,Tea,2025-05-07,2025-04-07,10,liters
4,Produce,Lettuce,2025-04-14,2025-04-07,41,Kg
4,Confectionery,Chocolate,2026-02-24,2025-04-07,37,packs
4,Meat,Beef,2025-04-08,2025-04-07,19,Kg
4,Beverages,Coffee,2025-05-03,2025-04-07,6,liters
4,Beverages,Soda,2025-05-04,2025-04-07,9,liters
4,Beverages,Coffee,2025-04-22,2025-04-07,3,liters
4,Beverages,Water,2025-04-29,2025-04-07,10,liters
4,Confectionery,Chocolate,2025-09-03,2025-04-07,15,packs
4,Bakery,Donut,2025-04-11,2025-04-07,6,packs
4,Bakery,Donut,2025-04-08,2025-04-07,46,packs
4,Seafood,Shrimp,2025-04-09,2025-04-07,38,Kg
4,Beverages,Coffee,2025-05-28,2025-04-07,33,liters
4,Meat,Beef,2025-04-13,2025-04-07,45,Kg
4,Dairy,Cheese,2025-04-17,2025-04-07,19,liters
4,Beverages,Coffee,2025-05-16,2025-04-07,46,liters
4,Dairy,Butter,2025-04-13,2025-04-07,17,liters
4,Beverages,Soda,2025-05-27,2025-04-07,6,liters
4,Bakery,Bread,2025-04-08,2025-04-07,4,packs
4,Produce,Bananas,2025-04-10,2025-04-07,3,Kg
4,Beverages,Water,2025-05-25,2025-04-07,32,liters
4,Dairy,Milk,2025-04-10,2025-04-07,33,liters
4,Dairy,Milk,2025-04-17,2025-04-07,32,liters
4,Meat,Chicken,2025-04-12,2025-04-07,31,Kg
4,Beverages,Tea,2025-05-08,2025-04-07,23,liters
4,Bakery,Croissant,2025-04-09,2025-04-07,40,packs
4,Meat,Beef,2025-04-13,2025-04-07,35,Kg
4,Seafood,Shrimp,2025-04-10,2025-04-07,11,Kg
4,Produce,Apples,2025-04-14,2025-04-07,17,Kg
4,Dairy,Butter,2025-04-15,2025-04-07,11,liters
4,Confectionery,Candy,2025-09-02,2025-04-07,13,packs
4,Seafood,Cod,2025-04-09,2025-04-07,19,Kg
